Timestamp,TEA,FLAVOR,MILK,ICE [Ice Level],SWEETNESS [Sweetness Level],Toppings,NAME,,Started,Completed
11/1/2022 20:34:53,JSMN,,MILK,50%,50%,BOBA,adam,,TRUE,TRUE
11/1/2022 20:35:54,MTCH,,MILK,,,BOBA,matt,,TRUE,TRUE
11/1/2022 20:37:08,JSMN,,MILK,0%,50%,LYCHEE,samika,,TRUE,TRUE
11/1/2022 20:40:04,DTYMTCH,,MILK,25%,,"BOBA, LYCHEE",janice (less sweet),,TRUE,TRUE
11/1/2022 20:41:43,BSL,,Oat,,,BOBA,taylor,,TRUE,TRUE
11/1/2022 20:43:00,JSMN,"MNGO, PSNFRT",,25%,50%,POPPIN,kim,,TRUE,TRUE
11/1/2022 20:43:29,BSL,,,,,BOBA,alex,,TRUE,TRUE
11/1/2022 20:44:28,BSL,,MILK,,,BOBA,isabel,,TRUE,TRUE
11/1/2022 20:45:34,JSMN,,MILK,50%,100%,BOBA,kevin,,TRUE,TRUE
11/1/2022 20:46:18,BSL,,MILK,,,BOBA,eleanor,,TRUE,TRUE
11/1/2022 20:47:08,OLNG,HNY,,50%,75%,LYCHEE,claire,,TRUE,TRUE
11/1/2022 20:47:56,JSMN,"KQ, LYCH",,50%,100%,BOBA,misha,,TRUE,TRUE
11/1/2022 20:48:29,BSL,,MILK,,,BOBA,catherine,,TRUE,TRUE
11/1/2022 20:49:07,JSMN,,MILK,50%,50%,BOBA,naomi,,TRUE,TRUE
11/1/2022 20:50:27,TARO,,Almond,,50%,BOBA,alyssa,,TRUE,TRUE
11/1/2022 20:51:06,DTYMTCH,,MILK,,,BOBA,grace,,TRUE,TRUE
11/1/2022 20:52:40,JSMN,WNTML,MILK,50%,75%,BOBA,francisco,,TRUE,TRUE
11/1/2022 20:53:26,MTCH,,MILK,,,BOBA,ben,,TRUE,TRUE
11/1/2022 20:54:26,JSMN,"MNGO, PSNFRT",,25%,75%,LYCHEE,aarushi,,TRUE,TRUE
11/1/2022 20:55:33,TARO,,Almond,,75%,BOBA,garett,,TRUE,TRUE
11/1/2022 20:56:21,BLK,ROSE,MILK,50%,50%,BOBA,bella,,TRUE,TRUE
11/1/2022 20:58:02,JSMN,WNTML,MILK,25%,50%,BOBA,ian,,TRUE,TRUE
11/1/2022 20:59:15,BLK,,MILK,50%,75%,BOBA,natalie,,TRUE,TRUE
11/1/2022 21:00:20,TARO,,MILK,,50%,BOBA,claire,,TRUE,TRUE
11/1/2022 21:00:48,JSMN,,MILK,50%,75%,BOBA,manu,,TRUE,TRUE
11/1/2022 21:03:43,TARO,,Oat,,100%,BOBA,omaru,,TRUE,TRUE
11/1/2022 21:05:15,,"MNGO, PCH",,50%,100%,BOBA,elsheik,,TRUE,TRUE
11/1/2022 21:08:00,BLK,"MNGO, PSNFRT, PCH",,25%,50%,BOBA,gus,,TRUE,TRUE
11/1/2022 21:10:13,OLNG,"HNY, PCH",,25%,50%,BOBA,Jenna,,TRUE,TRUE
11/1/2022 21:10:57,OLNG,KQ,,50%,25%,,Kali,,TRUE,TRUE
11/1/2022 21:11:55,BLK,,MILK,50%,100%,BOBA,Sam,,TRUE,TRUE
11/1/2022 21:12:49,TARO,,Oat,,50%,BOBA,Michelle,,TRUE,TRUE
11/1/2022 21:13:41,JSMN,,MILK,25%,75%,BOBA,Griffin ,,TRUE,TRUE
11/1/2022 21:27:03,OLNG,"HNY, PCH",,,25%,LYCHEE,leila,,TRUE,TRUE
11/1/2022 21:28:24,OLNG,,MILK,25%,75%,BOBA,shah,,TRUE,TRUE
11/1/2022 21:29:49,OLNG,"LYCH, PSNFRT, PCH",,25%,75%,POPPIN,kaitlin,,TRUE,TRUE
11/1/2022 21:30:45,TARO,,MILK,,75%,BOBA,waldo,,TRUE,TRUE
11/1/2022 21:32:04,JSMN,,MILK,25%,25%,BOBA,eve,,TRUE,TRUE
11/1/2022 21:32:38,BSL,,MILK,,,BOBA,catherine,,TRUE,TRUE
11/1/2022 21:33:15,JSMN,MNGO,,25%,75%,BOBA,katelyn,,TRUE,TRUE
