Timestamp,TEA,FLAVOR,MILK,ICE [Ice Level],SWEETNESS [Sweetness Level],Toppings,NAME,,Started,Completed
10/20/2022 20:21:45,TARO,,MILK,50%,50%,BOBA,Rose,,TRUE,TRUE
10/20/2022 20:22:19,BSL,,MILK,25%,100%,BOBA,Jazz,,TRUE,TRUE
10/20/2022 20:23:11,JSMN,"KQ, LYCH",,100%,100%,BOBA,Faith,,TRUE,TRUE
10/20/2022 20:23:40,JSMN,"MNGO, PSNFRT",,25%,25%,BOBA,Audrey,,TRUE,TRUE
10/20/2022 20:24:24,TARO,,MILK,50%,75%,BOBA,Kenneth,,TRUE,TRUE
10/20/2022 20:25:13,TARO,,MILK,50%,50%,BOBA,Ben,,TRUE,TRUE
10/20/2022 20:25:40,JSMN,ROSE,,50%,25%,LYCHEE,Sebastian,,TRUE,TRUE
10/20/2022 20:26:25,TARO,,MILK,0%,75%,BOBA,Ben,,TRUE,TRUE
10/20/2022 20:27:15,JSMN,,MILK,50%,25%,BOBA,Dylan,,TRUE,TRUE
10/20/2022 20:27:55,JSMN,,MILK,50%,75%,BOBA,Lawrence,,TRUE,TRUE
10/20/2022 20:29:46,SPECIAL,,MILK,,,BOBA,Eunice,,TRUE,TRUE
10/20/2022 20:30:21,JSMN,,MILK,100%,50%,BOBA,Abby,,TRUE,TRUE
10/20/2022 20:30:56,JSMN,,MILK,50%,75%,BOBA,Diana,,TRUE,TRUE
10/20/2022 20:31:27,JSMN,"KQ, LYCH",,50%,50%,BOBA,Olivia 1,,TRUE,TRUE
10/20/2022 20:31:38,JSMN,"KQ, LYCH",,50%,50%,BOBA,Olivia 2,,TRUE,TRUE
10/20/2022 20:32:21,JSMN,MNGO,,25%,50%,BOBA,Anya,,TRUE,TRUE
10/20/2022 20:32:55,BLK,ROSE,MILK,100%,100%,BOBA,Eli,,TRUE,TRUE
10/20/2022 20:33:48,OLNG,,MILK,25%,75%,,Alex,,TRUE,TRUE
10/20/2022 20:34:24,JSMN,"KQ, LYCH",,50%,50%,LYCHEE,Thea,,TRUE,TRUE
10/20/2022 20:35:33,OLNG,"HNY, MNGO",,50%,50%,LYCHEE,Dia,,TRUE,TRUE
10/20/2022 20:36:20,SPECIAL,,,50%,50%,BOBA,Sridha,,TRUE,TRUE
10/20/2022 20:41:14,TARO,,Oat,50%,50%,BOBA,Niketa,,TRUE,TRUE
10/20/2022 20:41:47,JSMN,"MNGO, PSNFRT",,50%,50%,BOBA,Kaitlin,,TRUE,TRUE
10/20/2022 20:42:12,SPECIAL,,MILK,,,BOBA,Alex,,TRUE,TRUE
10/20/2022 20:42:29,SPECIAL,,MILK,,,BOBA,Kim,,TRUE,TRUE
10/20/2022 20:43:37,BSL,,MILK,,,BOBA,Daisy,,TRUE,TRUE
10/20/2022 20:44:05,SPECIAL,,MILK,50%,75%,BOBA,Sky,,TRUE,TRUE
10/20/2022 20:44:38,SPECIAL,,MILK,50%,75%,BOBA,Annika,,TRUE,TRUE
10/20/2022 20:45:13,BLK,ROSE,Oat,25%,100%,BOBA,Zyad,,TRUE,TRUE
10/20/2022 20:46:28,JSMN,,MILK,50%,100%,BOBA,Christine 1,,TRUE,TRUE
10/20/2022 20:46:51,TARO,,MILK,50%,100%,BOBA,Christine 2,,TRUE,TRUE
10/20/2022 20:48:24,SPECIAL,,MILK,,,BOBA,Sarah,,TRUE,TRUE
10/20/2022 20:49:31,MTCH,,MILK,25%,,BOBA,AJ,,TRUE,TRUE
10/20/2022 20:50:53,JSMN,ROSE,MILK,25%,100%,LYCHEE,Dante,,TRUE,TRUE
10/20/2022 20:51:32,TARO,,MILK,100%,100%,BOBA,Ruth,,TRUE,TRUE
10/20/2022 20:52:26,SPECIAL,,MILK,,,BOBA,Ben,,TRUE,TRUE
10/20/2022 20:53:50,MTCH,,MILK,,,BOBA,Evan,,TRUE,TRUE
10/20/2022 20:54:18,MTCH,,Oat,,,BOBA,Ethan,,TRUE,TRUE
10/20/2022 20:54:52,SPECIAL,,MILK,,,BOBA,Gerado,,TRUE,TRUE
10/20/2022 20:55:34,BLK,ROSE,MILK,0%,50%,BOBA,Ulas,,TRUE,TRUE
10/20/2022 20:56:29,BSL,,MILK,0%,50%,BOBA,Serenat,,TRUE,TRUE
10/20/2022 20:57:08,TARO,,MILK,25%,0%,BOBA,Hannah,,TRUE,TRUE
10/20/2022 20:57:35,BLK,,MILK,25%,50%,BOBA,Taylor,,TRUE,TRUE
10/20/2022 20:58:24,OLNG,,MILK,50%,75%,BOBA,Ruthie,,TRUE,TRUE
10/20/2022 20:59:04,JSMN,"MNGO, PSNFRT",,50%,100%,LYCHEE,Sabrina,,TRUE,TRUE
10/20/2022 20:59:46,TARO,,MILK,50%,50%,BOBA,Nikai,,TRUE,TRUE
10/20/2022 21:00:56,JSMN,,MILK,100%,100%,BOBA,Chloe,,TRUE,TRUE
10/20/2022 21:01:45,JSMN,WNTML,MILK,50%,50%,BOBA,Suzanna,,TRUE,TRUE
10/20/2022 21:02:53,JSMN,WNTML,MILK,100%,75%,BOBA,Sam,,TRUE,TRUE
10/20/2022 21:03:32,BLK,"LYCH, PSNFRT",,100%,100%,LYCHEE,Margaret,,TRUE,TRUE
10/20/2022 21:04:21,TARO,,MILK,25%,25%,BOBA,Cindy,,TRUE,TRUE
10/20/2022 21:05:14,JSMN,"MNGO, PSNFRT",,25%,75%,LYCHEE,Emma,,TRUE,TRUE
10/20/2022 21:06:10,TARO,,Oat,0%,25%,BOBA,JP,,TRUE,TRUE
10/20/2022 21:06:56,JSMN,"MNGO, PSNFRT",,0%,50%,BOBA,Max,,TRUE,TRUE
10/20/2022 21:07:23,BSL,,MILK,,,BOBA,Emrys,,TRUE,TRUE
10/20/2022 21:07:59,TARO,,Oat,25%,50%,BOBA,Emily,,TRUE,TRUE
